u, v, d, x, y, z 
432.0, 381.0, 0.4462175071, 0.7209380628, -0.0700479535, 1.0738941998
434.0, 345.0, 0.4330875278, 0.7194472912, -0.0686366145, 1.1045076555
434.0, 324.0, 0.4320500195, 0.7192248014, -0.0695984752, 1.119941533
430.0, 297.0, 0.4298875332, 0.719363046, -0.0702629378, 1.1409398884
434.0, 273.0, 0.4267800152, 0.7203077138, -0.0690364202, 1.1595356717
435.0, 245.0, 0.4209925234, 0.7194457308, -0.0686230271, 1.1832100875
436.0, 219.0, 0.4159150124, 0.718695307, -0.069928746, 1.2039520498
435.0, 198.0, 0.4151850343, 0.719956931, -0.0688301067, 1.2210333174
437.0, 171.0, 0.4108175337, 0.7191416781, -0.0708706693, 1.2408288745
439.0, 141.0, 0.4057700336, 0.7195754733, -0.0696106127, 1.2612213916
406.0, 382.0, 0.4462175071, 0.7220095757, -0.050414017, 1.0737380665
408.0, 345.0, 0.4314550161, 0.7180511412, -0.0499927194, 1.1053884689
410.0, 328.0, 0.4331375062, 0.7196282118, -0.051080095, 1.1193715564
403.0, 298.0, 0.4280950129, 0.7199521279, -0.0476710288, 1.1423330521
409.0, 273.0, 0.4228825271, 0.7188406822, -0.0516789023, 1.1617336395
406.0, 248.0, 0.4216150343, 0.7202588807, -0.0491371911, 1.1804039166
407.0, 219.0, 0.4144800305, 0.718998822, -0.0487281699, 1.2029769593
408.0, 197.0, 0.4135125279, 0.7200279791, -0.0497730445, 1.2199436483
410.0, 166.0, 0.40674752, 0.7186874379, -0.0494701591, 1.2433454944
409.0, 140.0, 0.4058425128, 0.7203716128, -0.0483633774, 1.2614623955
382.0, 382.0, 0.4437100291, 0.7212504409, -0.0301783846, 1.0732817956
384.0, 347.0, 0.4314025342, 0.7182946206, -0.0306055331, 1.1037165032
378.0, 327.0, 0.4326025248, 0.7199203721, -0.0289539439, 1.1196298289
383.0, 298.0, 0.4251075089, 0.7187788838, -0.0306064901, 1.1416739639
383.0, 277.0, 0.4221525192, 0.7188506977, -0.0304186509, 1.1608261606
380.0, 246.0, 0.419925034, 0.719924843, -0.0288997736, 1.1822143461
383.0, 222.0, 0.4154300094, 0.7198696045, -0.0293195302, 1.2005839684
382.0, 197.0, 0.4129325151, 0.7198696811, -0.0301223554, 1.2205833611
383.0, 170.0, 0.4082375169, 0.718856421, -0.0297129093, 1.2417013165
384.0, 140.0, 0.4045450091, 0.7195714899, -0.0305124786, 1.2601946847
356.0, 384.0, 0.4439850152, 0.7221119775, -0.0104336988, 1.0724990554
356.0, 347.0, 0.4304825068, 0.7181916988, -0.010083557, 1.1039591043
356.0, 327.0, 0.4297400117, 0.7191439378, -0.0107405255, 1.1192924519
356.0, 298.0, 0.4256750345, 0.7194515016, -0.0091359667, 1.1426005111
356.0, 276.0, 0.4227250218, 0.719739753, -0.0098272923, 1.1596754837
355.0, 248.0, 0.4197750092, 0.7196570484, -0.00893085, 1.1814100348
357.0, 225.0, 0.4169500172, 0.7203699722, -0.0096009346, 1.1994032551
354.0, 196.0, 0.4111950099, 0.7188552338, -0.0090687745, 1.222646039
354.0, 172.0, 0.4103250206, 0.7206528608, -0.0092165256, 1.2398418486
355.0, 144.0, 0.4042925239, 0.7192419455, -0.0093081556, 1.2606264963
329.0, 383.0, 0.4413325191, 0.7209141791, 0.0102209362, 1.0731668991
328.0, 346.0, 0.4289925098, 0.7184168721, 0.0102166779, 1.105272807
326.0, 326.0, 0.4298500121, 0.7193753547, 0.009784972, 1.1206770828
327.0, 301.0, 0.4268950224, 0.7203495708, 0.0120341596, 1.1407729235
329.0, 275.0, 0.4225600064, 0.719698771, 0.0099067898, 1.1596627758
327.0, 247.0, 0.4172150195, 0.7190251905, 0.0111708949, 1.183409794
328.0, 222.0, 0.4144050181, 0.7196535213, 0.0108644821, 1.2016795676
328.0, 199.0, 0.411147505, 0.7198192251, 0.0104230077, 1.2196441652
326.0, 176.0, 0.4103600085, 0.7204029217, 0.0111843758, 1.2397130133
329.0, 139.0, 0.4027025104, 0.719050885, 0.0103268392, 1.2624414789
302.0, 387.0, 0.4407225251, 0.7205969044, 0.0288781877, 1.0727673633
303.0, 346.0, 0.4296350181, 0.7185075769, 0.030578797, 1.1052184666
303.0, 326.0, 0.4296500087, 0.7195607563, 0.0286863334, 1.1209309787
297.0, 304.0, 0.4249375165, 0.7199185931, 0.0324727094, 1.1413261436
303.0, 274.0, 0.4210950136, 0.7194797145, 0.0299500419, 1.1616412546
300.0, 249.0, 0.4179150164, 0.7195421958, 0.0310029815, 1.1815634331
302.0, 222.0, 0.4133625329, 0.7194726117, 0.0295351351, 1.2014685899
297.0, 209.0, 0.4120125175, 0.7194534029, 0.0309221056, 1.2206891249
299.0, 175.0, 0.4092675149, 0.7196059793, 0.0285477665, 1.2400416815
300.0, 141.0, 0.4024825096, 0.7187414391, 0.0301904119, 1.262817444
278.0, 386.0, 0.4408975244, 0.7208183461, 0.0495435808, 1.073029874
277.0, 347.0, 0.4305200279, 0.7185810185, 0.0507413493, 1.105566115
276.0, 327.0, 0.4295975268, 0.719158468, 0.0499074981, 1.1203390945
271.0, 300.0, 0.4240050316, 0.719751325, 0.0523030967, 1.1426712803
276.0, 275.0, 0.4216425121, 0.7197984544, 0.0493760472, 1.1607977204
275.0, 250.0, 0.4161200225, 0.7189742727, 0.0503353313, 1.1808221132
270.0, 228.0, 0.4152400196, 0.7207267398, 0.052024902, 1.2001509865
273.0, 202.0, 0.4089725316, 0.7184910984, 0.0493980983, 1.2222894767
269.0, 174.0, 0.4098675251, 0.7209772166, 0.0513901482, 1.2390189326
270.0, 143.0, 0.4033125043, 0.7189249567, 0.0493840818, 1.2607710519
254.0, 384.0, 0.4412800074, 0.7219840568, 0.0686411369, 1.0734538561
248.0, 351.0, 0.4283325076, 0.7182035156, 0.0709356206, 1.1041484226
250.0, 327.0, 0.4288700223, 0.7195625946, 0.0696863013, 1.1210875745
247.0, 304.0, 0.4257325232, 0.7194654799, 0.0707884865, 1.1400155829
246.0, 277.0, 0.4225925207, 0.7202875017, 0.071665102, 1.159600401
246.0, 250.0, 0.4155275226, 0.7193956592, 0.0698982037, 1.1823978954
245.0, 226.0, 0.4136675298, 0.7197388264, 0.0701081154, 1.2010338098
246.0, 203.0, 0.411340028, 0.7192478763, 0.0702198332, 1.2211275578
245.0, 172.0, 0.4085175097, 0.7201160875, 0.0700540981, 1.2403182497
242.0, 143.0, 0.4015350044, 0.7193440824, 0.0710827343, 1.2611677062
230.0, 385.0, 0.4439375103, 0.7221282833, 0.0887952199, 1.0731993754
225.0, 348.0, 0.4287600219, 0.7185983034, 0.0893206441, 1.1048329375
221.0, 329.0, 0.4270475209, 0.7193625971, 0.0917147085, 1.1211511357
223.0, 307.0, 0.4243050218, 0.7195075592, 0.0900291226, 1.1409120022
223.0, 277.0, 0.4202275276, 0.7191103445, 0.0899149491, 1.1618049943
218.0, 251.0, 0.4175525308, 0.7202290349, 0.0919528192, 1.1807544082
222.0, 227.0, 0.4124025106, 0.7183425549, 0.0877927008, 1.2005666664
218.0, 198.0, 0.4105775058, 0.7199766507, 0.0908999529, 1.2218459313
217.0, 171.0, 0.4044750333, 0.7189304743, 0.0897477684, 1.2406307151
215.0, 139.0, 0.4015525281, 0.7188249542, 0.090573641, 1.2623545855
201.0, 387.0, 0.4416150153, 0.7213818104, 0.1106776647, 1.0723911405
199.0, 349.0, 0.4289500117, 0.7186729065, 0.1087464075, 1.1043201005
195.0, 332.0, 0.4284950197, 0.7192429564, 0.1103028278, 1.1186688233
195.0, 304.0, 0.4240500331, 0.7193522128, 0.1102191048, 1.1412824267
195.0, 279.0, 0.4217050076, 0.7199893197, 0.1100727347, 1.1587978575
193.0, 252.0, 0.4168175161, 0.7189964121, 0.1096575551, 1.1812637193
189.0, 230.0, 0.414722532, 0.7206711745, 0.1124343214, 1.1998004283
191.0, 203.0, 0.4092875123, 0.7190246511, 0.1097031276, 1.2206660199
184.0, 172.0, 0.406520009, 0.7205567063, 0.1133844548, 1.2414694904
189.0, 143.0, 0.4006675184, 0.7182808132, 0.1085784088, 1.2617064606
